direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2024/04/12,172.339996337891,2024/04/26,168.850006103516,-3.489990234375,-2.0250611051032523,0.9797493889489675,95,,-0.02131643268529739,9,exit-rule,8.616999816894548,,
long,2024/05/13,170,2024/05/15,179.899993896484,9.899993896484006,5.82352582146118,1.0582352582146117,95,,0.06130027180485453,1,exit-rule,8.5,,
long,2024/06/05,175.350006103516,2024/06/07,176.130004882812,0.7799987792959939,0.4448239248053006,1.004448239248053,95,,0.004682357103213691,1,exit-rule,8.767500305175815,,
long,2024/06/11,173.919998168945,2024/06/13,188.389999389648,14.470001220703011,8.319917992781328,1.0831991799278133,95,,0.0875780841345403,1,exit-rule,8.695999908447249,,
long,2024/07/25,216.800003051758,2024/07/30,232.25,15.449996948241989,7.126382255886552,1.0712638225588655,95,,0.07501455006196373,2,exit-rule,10.840000152587919,,
long,2024/08/02,214.835006713867,2024/08/22,223.820007324219,8.985000610352017,4.182279577144938,1.0418227957714494,95,,0.04402399554889409,13,exit-rule,10.741750335693354,,
long,2024/08/26,218.75,2024/09/05,223.490005493164,4.740005493164006,2.166859654017831,1.0216685965401784,95,,0.02280904898966138,6,exit-rule,10.9375,,
long,2024/09/09,216.199996948242,2024/09/11,224.550003051758,8.350006103516023,3.8621675399537607,1.0386216753995376,95,,0.040654395157408006,1,exit-rule,10.809999847412115,,
long,2024/10/14,220.130004882812,2024/10/25,256.010009765625,35.88000488281301,16.299461266951784,1.1629946126695179,95,,0.1715732764942293,8,exit-rule,11.006500244140597,,
long,2025/01/03,381.480010986328,2025/01/07,405.829986572266,24.34997558593801,6.383027913567586,1.063830279135676,95,,0.06718976751123774,1,exit-rule,19.074000549316395,,
long,2025/01/10,391.222503662109,2025/01/16,423.489990234375,32.26748657226602,8.24786055766741,1.0824786055766742,95,,0.08681958481755168,3,exit-rule,19.561125183105446,,
long,2025/01/23,416.059997558594,2025/03/26,282.660003662109,-133.399993896485,-32.06268198799819,0.6793731801200181,95,,-0.3375019156631388,42,exit-rule,20.80299987792972,,
long,2025/03/28,275.579986572266,2025/04/03,265.290008544922,-10.289978027344034,-3.7339351653700974,0.962660648346299,94.99999999999999,,-0.0393045806881063,3,exit-rule,13.778999328613338,,
long,2025/04/08,245,2025/04/10,260,15,6.122448979591836,1.0612244897959184,95,,0.0644468313641246,1,exit-rule,12.25,,
long,2025/04/14,258.359985351562,2025/04/25,261.690002441406,3.330017089844034,1.2889058982228734,1.0128890589822288,95,,0.013567430507609194,7,exit-rule,12.917999267578125,,
long,2025/06/06,298.829986572266,2025/06/11,334.399993896484,35.570007324217954,11.903091698468508,1.119030916984685,95,,0.1252957020891422,2,exit-rule,14.941499328613304,,
long,2025/06/13,314,2025/06/17,326.089996337891,12.089996337891023,3.8503173050608352,1.0385031730506085,95,,0.040529655842745635,1,exit-rule,15.699999999999989,,
long,2025/06/20,327.950012207031,2025/06/24,356.170013427734,28.220001220702954,8.604970321784283,1.0860497032178429,94.99999999999999,,0.09057863496615036,1,exit-rule,16.397500610351585,,
long,2025/06/26,324.609985351562,2025/07/03,315.350006103516,-9.259979248045966,-2.8526476898167936,0.9714735231018321,95,,-0.030027870419124147,5,finalize,16.230499267578125,,
