direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2000/03/15,0.876268629513088,2000/03/17,0.910372520968692,0.034103891455603996,3.8919448108685963,1.0389194481086859,5.000000000000002,,0.778388962173719,1,exit-rule,0.8324551980374336,,
long,2000/04/07,0.964369282285424,2000/04/11,0.9161508181711527,-0.04821846411427122,-5.000000000000003,0.95,5.000000000000003,,-1,1,stop-loss,0.9161508181711527,,
long,2000/04/13,0.84500763962761,2000/04/19,0.956317202295529,0.11130956266791892,13.172610216515013,1.1317261021651501,5.0000000000000036,,2.6345220433030003,3,exit-rule,0.8027572576462295,,
long,2000/04/24,0.871532295533459,2000/04/26,0.95963211860663,0.08809982307317099,10.108612557982797,1.1010861255798279,5.000000000000001,,2.021722511596559,1,exit-rule,0.827955680756786,,
long,2000/04/28,0.963422249411956,2000/05/02,0.9152511369413582,-0.0481711124705978,-5,0.95,5,,-1,1,stop-loss,0.9152511369413582,,
long,2000/05/04,0.87247971009283,2000/05/09,0.8288557245881885,-0.04362398550464153,-5.000000000000003,0.95,5.000000000000003,,-1,2,stop-loss,0.8288557245881885,,
long,2000/05/11,0.768274628903985,2000/05/19,0.7298608974587858,-0.03841373144519922,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,5,stop-loss,0.7298608974587858,,
long,2000/05/23,0.685858341659484,2000/05/24,0.6515654245765098,-0.03429291708297422,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,0.6515654245765098,,
long,2000/05/26,0.666911246616411,2000/05/30,0.6335656842855905,-0.03334556233082053,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,0,stop-loss,0.6335656842855905,,
long,2000/06/01,0.61954590636844,2000/06/20,0.746485947141298,0.12694004077285803,20.48920660567929,1.204892066056793,4.999999999999996,,4.097841321135862,12,exit-rule,0.588568611050018,,
long,2000/07/25,0.762591025057629,2000/07/28,0.7244614738047476,-0.03812955125288142,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,2,stop-loss,0.7244614738047476,,
long,2000/08/01,0.762591148562055,2000/08/02,0.7244615911339523,-0.038129557428102756,-5.000000000000001,0.95,5.000000000000001,,-1,0,stop-loss,0.7244615911339523,,
long,2000/08/04,0.749802208819332,2000/08/08,0.7123120983783654,-0.03749011044096662,-5.000000000000003,0.95,5.000000000000003,,-1,1,stop-loss,0.7123120983783654,,
long,2000/08/10,0.727540031390671,2000/08/11,0.6911630298211375,-0.036377001569533496,-4.999999999999993,0.9500000000000001,4.999999999999993,,-1,0,stop-loss,0.6911630298211375,,
